,CCONJ,ADV,PUNCT,VERB,SCONJ,PROPN,ADJ,NOUN,PART,NUM,PRON,ADP,total_sum
ne,799.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,843.0
.,0.0,0.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0
ma,532.0,0.0,0.0,0.0,3.0,15.0,0.0,37.0,0.0,0.0,43.0,28.0,658.0
e,362.0,0.0,0.0,0.0,117.0,2.0,0.0,0.0,0.0,0.0,7.0,69.0,557.0
",",0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0
ni,381.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,486.0
mar,0.0,0.0,0.0,0.0,0.0,5.0,0.0,111.0,0.0,0.0,0.0,212.0,328.0
gi,6.0,0.0,1.0,0.0,18.0,0.0,0.0,5.0,0.0,0.0,3.0,217.0,250.0
"""""""""",0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0
en,187.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,203.0
kendo,97.0,0.0,0.0,0.0,25.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,151.0
mondo,0.0,0.0,0.0,23.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,135.0
wacho,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,107.0,0.0,133.0
ok,15.0,80.0,0.0,19.0,0.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,131.0
owacho,0.0,0.0,0.0,24.0,0.0,3.0,0.0,22.0,0.0,0.0,80.0,0.0,129.0
to,12.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,99.0
kaunti,0.0,0.0,0.0,0.0,0.0,43.0,0.0,55.0,0.0,0.0,0.0,0.0,98.0
kod,21.0,0.0,0.0,0.0,10.0,8.0,0.0,43.0,0.0,0.0,0.0,13.0,95.0
ka,31.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,89.0
kata,23.0,0.0,0.0,0.0,4.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,86.0
nikech,0.0,0.0,0.0,18.0,0.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,84.0
mag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,1.0,82.0
jo,14.0,0.0,0.0,0.0,0.0,25.0,0.0,37.0,0.0,0.0,0.0,0.0,76.0
kuom,0.0,0.0,0.0,0.0,28.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,71.0
:,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
bura,0.0,0.0,0.0,0.0,0.0,52.0,0.0,15.0,0.0,0.0,0.0,0.0,67.0
od,6.0,0.0,0.0,0.0,0.0,51.0,0.0,9.0,0.0,0.0,0.0,0.0,66.0
niya,0.0,0.0,13.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0
tich,0.0,0.0,0.0,0.0,0.0,26.0,0.0,36.0,0.0,0.0,0.0,0.0,62.0
skul,0.0,0.0,0.0,0.0,0.0,5.0,0.0,54.0,0.0,0.0,0.0,0.0,59.0
ji,2.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,20.0,0.0,59.0
moro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0
joma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,56.0
kamano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0
kaka,6.0,11.0,0.0,0.0,0.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,54.0
sirkal,0.0,0.0,0.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,0.0,0.0,52.0
wach,0.0,0.0,0.0,8.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,51.0
kama,9.0,0.0,0.0,0.0,32.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,47.0
bende,0.0,0.0,0.0,0.0,0.0,4.0,0.0,43.0,0.0,0.0,0.0,0.0,47.0
weche,0.0,0.0,0.0,0.0,0.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,47.0
pesa,0.0,0.0,0.0,0.0,0.0,3.0,0.0,40.0,0.0,0.0,0.0,0.0,43.0
pi,1.0,0.0,0.0,0.0,19.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,41.0
gavana,0.0,0.0,0.0,0.0,0.0,15.0,0.0,26.0,0.0,0.0,0.0,0.0,41.0
bay,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
kot,0.0,0.0,0.0,0.0,0.0,17.0,0.0,23.0,0.0,0.0,0.0,0.0,40.0
homa,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
ahinya,0.0,20.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,38.0
odhi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,38.0
achiel,0.0,0.0,0.0,15.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,37.0
polise,0.0,0.0,0.0,0.0,0.0,8.0,0.0,27.0,0.0,1.0,0.0,0.0,36.0
"""",0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
tarik,0.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,0.0,0.0,0.0,0.0,36.0
-,0.0,0.0,12.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0
gin,11.0,0.0,2.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,35.0
dhi,3.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,35.0
mang'eny,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,0.0,0.0,34.0
siaya,0.0,0.0,0.0,0.0,0.0,28.0,0.0,6.0,0.0,0.0,0.0,0.0,34.0
nowacho,0.0,0.0,0.0,10.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,33.0
moko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0
milion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,32.0
kenya,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0
odm,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
mano,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,31.0
omiyo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,31.0
mokalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0
mana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,30.0
jatelo,0.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,0.0,0.0,0.0,0.0,30.0
ariyo,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,30.0
biro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0
gima,0.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,29.0
nyithindo,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0,0.0,29.0
sama,6.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,29.0
timo,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,29.0
onego,0.0,0.0,0.0,9.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,29.0
(,0.0,0.0,23.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
),0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
miyo,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,27.0
higa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0
wachno,0.0,0.0,0.0,2.0,0.0,2.0,0.0,19.0,0.0,0.0,3.0,0.0,26.0
duto,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,26.0
piny,0.0,0.0,0.0,0.0,0.0,7.0,0.0,19.0,0.0,0.0,0.0,0.0,26.0
chenro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0
ker,1.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0
gik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0
taon,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,25.0
